Title,Date,Affiliations,Description,Response,Victims,Sponsor,Type,Category,Sources_1,Sources_2,Sources_3
Lucky Cat,3/30/2012,Has links to the Shadow Network and SabPub,"A threat actor targets computer networks associated with Tibetan activists, as well as military research and development, aerospace, engineering, and shipping industries in India and Japan.",,"India, Japan",China,Espionage,"Civil society, Private sector",http://blog.trendmicro.com/trendlabs-security-intelligence/luckycat-redux-inside-an-apt-campaign/,,
Syrian Electronic Army,1/1/2011,"Allosh, Syrian Government ",A loosely organized collective of Syrian government–affiliated threat actors that has targeted a wide range of entities since 2011.,,"Syrian Dissidents, Humanitarian Groups, Western Media Outlets, Associated Press, U.S. government websites, Twitter, PayPal, eBay",Syrian Arab Republic,,"Civil society, Private sector, Military, Government",https://www.cyberscoop.com/coronavirus-syria-surveillance-apps-lookout/,https://blog.lookout.com/nation-state-mobile-malware-targets-syrians-with-covid-19-lures,https://www.opencanada.org/features/new-face-syrian-electronic-army/
Compromise of the U.S. Chamber of Commerce,12/21/2011,,Threat actors compromised the computer networks of the U.S. Chamber of Commerce,Denouncement   http://venturebeat.com/2011/12/21/china-chamber-of-commerce-hack/,U.S. Chamber of Commerce,China,Espionage,Government,http://www.wsj.com/articles/SB10001424052970204058404577110541568535300,http://venturebeat.com/2011/12/21/china-chamber-of-commerce-hack/,http://abcnews.go.com/International/chinese-hack-us-chamber-commerce-authorities/story?id=15207642
Denial of service incident against South Korean and U.S. targets,4/9/2011,Believed to be the work of the Lazarus Group,"Dubbed “Ten Days of Rain,” this attack was a ten-day denial of service campaign that targeted websites associated with the South Korean government and U.S. military forces in South Korea.",,"South Korea, U.S. Forces Korea",Korea (Democratic People's Republic of),Denial of service,"Government, Military",https://web.archive.org/web/20140602010545/http://blogs.mcafee.com/mcafee-labs/10-days-of-rain-in-korea,https://threatpost.com/mcafee-fingers-north-korea-attacks-south-korean-sites-070611/75398/,http://www.bbc.com/news/technology-12646052
Denial of service incident against a South Korean bank,4/18/2011,,"South Korean prosecutors allege that North Korean intelligence conducted a denial of service campaign against a South Korean bank, causing millions of customers to be unable to use the bank's credit cards and ATMs for more than a week.",Denouncement   http://www.bbc.com/news/world-asia-pacific-13263888,National Agricultural Cooperative Federation,Korea (Democratic People's Republic of),Denial of service,Private sector,http://www.koreatimes.co.kr/www/news/nation/2011/05/117_86369.html,http://www.reuters.com/article/korea-north-cyber-idUSL3E7G31BT20110503,https://www.washingtonpost.com/world/national-security/suspected-north-korean-cyber-attack-on-a-bank-raises-fears-for-s-korea-allies/2011/08/07/gIQAvWwIoJ_story.html
Compromise of Oak Ridge National Laboratory,4/19/2011,,A compromise at the computer network of Oak Ridge National Laboratory led to the exfiltration of approximately one gigabyte of data and the shutdown of the network.,,Oak Ridge National Laboratory,China,Espionage,"Government, Private sector",http://www.computerworld.com/article/2507715/cybercrime-hacking/oak-ridge-national-lab-shuts-down-internet--email-after-cyberattack.html,http://www.wired.com/2011/04/oak-ridge-lab-hack/,http://securitywatch.pcmag.com/google/283508-oak-ridge-national-laboratory-hacked
Shady RAT,8/3/2011,Believed to be a tool used by PLA Unit 61398,"A threat actor targeted government entities (primarily in the United States), defense contractors, think tanks, and companies in the advanced information technology and aerospace industries for espionage purposes using a tool called Shady RAT.",,"United States, Canada, South Korea, Taiwan, Japan, Switzerland, United Kingdom, Indonesia, Vietnam, Singapore, Hong Kong, Germany, India, United Nations, International Olympic Committee",China,Espionage,"Government, Military",http://www.mcafee.com/us/resources/white-papers/wp-operation-shady-rat.pdf,http://www.vanityfair.com/news/2011/09/operation-shady-rat-201109,https://www.washingtonpost.com/national/national-security/report-identifies-widespread-cyber-spying/2011/07/29/gIQAoTUmqI_story.html
Compromise of a Taiwanese political party,8/9/2011,,A threat actor compromised the computer network of the Democratic Progressive Party (a political party in Taiwan) and exfiltrated data.,Denouncement   http://www.taipeitimes.com/News/front/archives/2011/08/10/2003510374/1,Democratic Progressive Party,China,Espionage,Government,http://www.taipeitimes.com/News/front/archives/2011/08/10/2003510374/1,http://www.theepochtimes.com/n3/1494970-chinese-state-media-denies-hacking-taiwan-e-mails/,http://www.news24.com/SciTech/News/Taiwan-party-Chinese-hacked-us-20110809
Compromise of certificate issuer DigiNotar,9/6/2011,,"DigiNotar was a Dutch issuer of the digital security certificates [PDF] that authenticate the identities of servers on the internet. This authentication process is essential for online transactions; the certificates allow users to trust that the website they reached is the one they intended and not a decoy that could be used for fraud. An unknown threat actor breached DigiNotar’s network in 2011 and stole authentication certificates to masquerade as other online properties. For example, the threat actors used the certificates to pose as Google and spy on approximately three hundred thousand Iranian Gmail accounts. The fallout from the cyberattack caused DigiNotar to file for bankruptcy, as it was no longer considered a reliable provider for digital security certificates. 

DigiNotar was a certificate issuer for the Dutch government at the time, so the compromise jeopardized the information of Dutch citizens. The breach also revealed the previously hidden insecurities of online trust infrastructure, leading to new certificate authentication standards to better ensure the future protection of online consumers.",,DigiNotar,,Espionage,"Government, Private sector",http://www.computerworld.com/article/2510951/cybercrime-hacking/hackers-spied-on-300-000-iranians-using-fake-google-certificate.html,http://scholarcommons.usf.edu/cgi/viewcontent.cgi?article=1246&context=jss,https://www.enisa.europa.eu/media/news-items/operation-black-tulip
Compromise at Mitsubishi Heavy Industries,9/19/2011,Possibly linked to the Nitro incident,"A threat actor compromised Mitsubishi Heavy Industries, a Japanese defense contractor, targeting shipyards and research and development facilities.",,Mitsubishi Heavy Industries,,Espionage,Private sector,http://www.reuters.com/article/us-mitsubishiheavy-computer-idUSTRE78I0EL20110919,http://www.bbc.com/news/world-asia-pacific-14982906,http://www.computerworld.com/article/2499789/security0/-nitro--hackers-use-stock-malware-to-steal-chemical--defense-secrets.html
Nitro attacks,10/31/2011,Possibly linked to the Mitsubishi Heavy Industries incident.,A threat actor targeted defense contractors and private companies involved in research and manufacture of chemicals.,,"United States, Bangladesh, United Kingdom, Argentina, Singapore, China, Taiwan, Germany, Czech Republic, Hong Kong, India, Netherlands, Finland, South Korea, France",China,Espionage,"Government, Private sector",https://www.symantec.com/content/en/us/enterprise/media/security_response/whitepapers/the_nitro_attacks.pdf,http://www.reuters.com/article/us-cyberattack-chemicals-idUSTRE79U4K920111031,http://www.computerworld.com/article/2499789/security0/-nitro--hackers-use-stock-malware-to-steal-chemical--defense-secrets.html
Duqu,10/26/2011,This is believed be a tool set used by the Equation Group. It is related to Stuxnet and Flame.,"Threat actors, using a tool dubbed Duqu, targeted industrial control systems in certain countries.",,"Iran, Sudan",Israel,Espionage,Military,http://www.crysys.hu/publications/files/bencsathPBF11duqu.pdf,http://www.wsj.com/articles/spy-virus-linked-to-israel-targeted-hotels-used-for-iran-nuclear-talks-1433937601,https://www.wired.com/2011/10/son-of-stuxnet-in-the-wild/
Interference with NASA satellite Landsat 7,11/9/2011,,Recurring interference with a joint NASA-U.S. Geological Survey satellite in 2007 and 2008,,NASA,China,Espionage,Government,https://web.archive.org/web/20111124012100/http://www.uscc.gov/annual_report/2011/annual_report_full_11.pdf,http://www.bloomberg.com/bw/stories/2008-11-19/network-security-breaches-plague-nasa,http://www.reuters.com/article/2011/10/31/us-china-us-hacking-idUSTRE79U1YI20111031?feedType=RSS&feedName=scienceNews&utm_source=dlvr.it&utm_medium=twitter&dlvrit=309301
Compromise of Canadian government departments,2/16/2011,,"A threat actor compromised the computer networks of multiple government departments, which led the government to shut down internet access at the affected departments for almost two months.",,"Treasury Board of Canada, Department of Finance, Defense Research and Development Canada",China,Espionage,Government,http://www.cbc.ca/news/politics/foreign-hackers-attack-canadian-government-1.982618,http://www.nytimes.com/2011/02/18/world/americas/18canada.html?_r=0,http://www.bbc.com/news/world-us-canada-12498254
Interference with NASA satellite Terra (EOS AM-1),11/9/2011,,Recurring interference with a NASA observation satellite,,NASA,China,Espionage,Government,https://web.archive.org/web/20111124012100/http://www.uscc.gov/annual_report/2011/annual_report_full_11.pdf,https://web.archive.org/web/20111119045231/http://abcnews.go.com/blogs/politics/2011/11/us-satellites-compromised-by-malicious-cyber-activity/,http://www.reuters.com/article/2011/10/31/us-china-us-hacking-idUSTRE79U1YI20111031?feedType=RSS&feedName=scienceNews&utm_source=dlvr.it&utm_medium=twitter&dlvrit=309301
Compromise of RSA SecureID tokens,3/19/2011,"This incident is believed to be the work of Unit 61398 and at least two other Chinese groups, according to the New York Times. The threat actor Sneaky Panda may also have assisted.",Threat actors attacked computer security company RSA and compromised millions of SecureID tokens. Linked to the compromise of data from the U.S. F-35 Joint Strike Fighter program at Lockheed Martin.,,RSA,China,Espionage,Private sector,http://bits.blogs.nytimes.com/2011/04/02/the-rsa-hack-how-they-did-it/?_r=0%20,https://web.archive.org/web/20110319214522/http://www.rsa.com/node.aspx?id=3872,https://www.wired.com/2011/08/how-rsa-got-hacked/
Operation Aurora,1/14/2010,Believed to be the work of PLA Unit 61398 with possible assistance from Sneaky Panda. Believed to be associated with Winnti Umbrella,"Operation Aurora was a series of cyberattacks from China that targeted U.S. private sector companies in 2010. The threat actors conducted a phishing campaign that compromised the networks of Yahoo, Adobe, Dow Chemical, Morgan Stanley, Google, and more than two dozen other companies to steal their trade secrets. Google was the only company that confirmed it was a victim and disclosed to the public that the Gmail accounts of certain Chinese human rights activists had been compromised. Google also publicly attributed the incident to China, something companies were reluctant to do for fear of jeopardizing their access to the Chinese market.  

The incident is viewed as a milestone in the recent history of cyber operations because it raised the profile of cyber operations as a tool for industrial espionage. It led Google to cease its operations in China, though it continues to operate a localized version of its search engine in Hong Kong. As a result of the Gmail compromise, Google began notifying users if it believed their accounts had been targeted or compromised by a state-sponsored actor. This practice later spread to other email providers.",Denouncement   http://www.nytimes.com/2010/01/22/world/asia/22diplo.html,"Google, Adobe, Juniper Networks, Rackspace, Yahoo, Symantec, Northtrop Grumman, Morgan Stanley, Dow Chemical",China,Espionage,Private sector,http://www.wired.com/2010/01/operation-aurora/,https://web.archive.org/web/20160417132538/https://kc.mcafee.com/resources/sites/MCAFEE/content/live/CORP_KNOWLEDGEBASE/67000/KB67957/en_US/Combating%20Threats%20-%20Operation%20Aurora.pdf,http://www.washingtonpost.com/wp-dyn/content/article/2010/01/13/AR2010011300359.html
